modificador_original,valor_normalizado,tipo,activo,nota
Deshebrada,Deshebrada,GUISADO,true,
Chicharrón,Chicharrón,GUISADO,true,
Huevo Verde,Huevo Verde,GUISADO,true,
Cochinita,Cochinita,GUISADO,true,
Huevo Rojo,Huevo Rojo,GUISADO,true,
Molida,Molida,GUISADO,true,
Papa con Chorizo,Papa con Chorizo,GUISADO,true,
Bistec (1 pza.),Bistec (1 pza.),EXTRA,true,
Asado,Asado,GUISADO,true,
Huevo Cascabel,Huevo Cascabel,GUISADO,true,
Sin Crema,Sin Crema,PETICION,true,
Huevo con Chorizo,Huevo con Chorizo,GUISADO,true,
Bistec con Papas,Bistec con Papas,GUISADO,true,
Frijoles con Queso,Frijoles con Queso,GUISADO,true,
Papa con Huevo,Papa con Huevo,GUISADO,true,
Barbacoa,Barbacoa,GUISADO,true,
Pollo con Mole,Pollo con Mole,GUISADO,true,
Huevo Revuelto (2 pzas.),Huevo Revuelto (2 pzas.),EXTRA,true,
Queso,Queso,AMBIGUO,true,
Frijoles,Frijoles,AMBIGUO,true,
Requeson,Requeson,GUISADO,true,
Requesón Picosito,Requesón Picosito,GUISADO,true,
Papa,Papa,GUISADO,true,
Huevo con Nopal,Huevo con Nopal,GUISADO,true,
Coca Cola,Coca Cola,VARIANTE,true,
Nopal,Nopal,GUISADO,true,
Sin Tomate,Sin Tomate,PETICION,true,
Sin Lechuga,Sin Lechuga,PETICION,true,
Huevo Estrellado Cocido (2 pzas.),Huevo Estrellado Cocido (2 pzas.),EXTRA,true,
Huevo Estrellado Medio (2 pzas.),Huevo Estrellado Medio (2 pzas.),EXTRA,true,
Sin Aguacate,Sin Aguacate,PETICION,true,
Relleno de Guisados,Relleno de Guisados,EXTRA,true,
Huevo Revuelto (p/relleno),Huevo Revuelto (p/relleno),EXTRA,true,
Huevo Estrellado Tierno (2 pzas.),Huevo Estrellado Tierno (2 pzas.),EXTRA,true,
