id,sucursal,fecha,periodo,producto,familia,unidad_venta,modificacion_original,cantidad,piezas_equivalentes,ventas_brutas,ingresos,precio_unitario,es_servicio_envio,n_guisados,n_extras,n_peticiones
1,Principal,2023-12-31,2023-12,Migada Guisado de Carne,Migada,PIEZA,"Deshebrada, Nopal",1.0,1.0,120.0,102.0,120.0,false,2,0,0
2,Principal,2023-12-31,2023-12,Tacos de Harina,Taco,PIEZA,Huevo con Nopal,1.0,1.0,17.0,17.0,17.0,false,1,0,0
3,Principal,2023-12-31,2023-12,Tacos de Maiz,Taco,PIEZA,Huevo con Nopal,2.0,2.0,34.0,34.0,17.0,false,1,0,0
4,Principal,2023-12-31,2023-12,Bocoles,Bocol,PIEZA,Huevo con Nopal,1.0,1.0,17.0,17.0,17.0,false,1,0,0
5,Principal,2023-12-31,2023-12,Gorditas Surtidas,Gordita,PIEZA,5,2.0,10.0,150.0,150.0,75.0,false,0,0,0
6,Principal,2023-12-31,2023-12,Bocoles Surtidos,Bocol,PIEZA,5,2.0,10.0,170.0,170.0,85.0,false,0,0,0
7,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,Enchilada,ORDEN,Bistec (1 pza.),1.0,1.0,140.0,140.0,140.0,false,0,1,0
8,Principal,2023-12-31,2023-12,Migada Guisado de Carne,Migada,PIEZA,"Barbacoa, Chicharrón",1.0,1.0,102.0,102.0,102.0,false,2,0,0
9,Principal,2023-12-31,2023-12,Refresco 600 ml.,Bebida,ORDEN,Fresca,2.0,2.0,60.0,60.0,30.0,false,0,0,0
10,Principal,2023-12-31,2023-12,1/2 Enmoladas,Enmolada,ORDEN,Huevo Estrellado Medio (2 pzas.),2.0,2.0,188.0,188.0,94.0,false,0,1,0
11,Principal,2023-12-31,2023-12,Enchiladas Picositas,Enchilada,ORDEN,Bistec (1 pza.),1.0,1.0,239.0,239.0,239.0,false,0,1,0
12,Principal,2023-12-31,2023-12,Tacos de Maiz,Taco,PIEZA,Pollo con Mole,2.0,2.0,34.0,34.0,17.0,false,1,0,0
13,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),Empanada,ORDEN,Deshebrada &times 4,2.0,8.0,240.0,240.0,120.0,false,1,0,0
14,Principal,2023-12-31,2023-12,1/2 Entomatadas,Entomatada,ORDEN,Huevo Estrellado Cocido (2 pzas.),1.0,1.0,94.0,94.0,94.0,false,0,1,0
15,Principal,2023-12-31,2023-12,1/2 Enchiladas Picositas,Enchilada,ORDEN,Huevo Estrellado Cocido (2 pzas.),1.0,1.0,94.0,94.0,94.0,false,0,1,0
16,Principal,2023-12-31,2023-12,Refresco 600 ml.,Bebida,ORDEN,Escuis Fresa,2.0,2.0,60.0,60.0,30.0,false,0,0,0
17,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),Empanada,ORDEN,Pollo con Mole &times 4,1.0,4.0,102.0,102.0,102.0,false,1,0,0
18,Principal,2023-12-31,2023-12,Ciel 600 ml.,Bebida,ORDEN,,1.0,1.0,28.0,28.0,28.0,false,0,0,0
19,Principal,2023-12-31,2023-12,Tacos de Harina,Taco,PIEZA,Asado,2.0,2.0,38.0,38.0,19.0,false,1,0,0
20,Principal,2023-12-31,2023-12,Bocoles,Bocol,PIEZA,"Cochinita, Frijoles",2.0,2.0,42.0,42.0,21.0,false,1,1,0
21,Principal,2023-12-31,2023-12,Bocoles,Bocol,PIEZA,"Papa con Chorizo, Frijoles",1.0,1.0,21.0,21.0,21.0,false,1,1,0
22,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,Enchilada,ORDEN,Sin Verduras,1.0,1.0,66.0,66.0,66.0,false,0,0,1
23,Principal,2023-12-31,2023-12,Migada Guisado de Carne,Migada,PIEZA,Deshebrada,1.0,1.0,102.0,102.0,102.0,false,1,0,0
24,Principal,2023-12-31,2023-12,Plátano Frito,Otros,ORDEN,Lechera,4.0,4.0,120.0,120.0,30.0,false,0,0,0
25,Principal,2023-12-31,2023-12,Entomatadas,Entomatada,ORDEN,"Bistec (1 pza.), Sin Crema",1.0,1.0,176.0,176.0,176.0,false,0,1,1
26,Principal,2023-12-31,2023-12,Refresco 600 ml.,Bebida,ORDEN,Escuis Hierro,1.0,1.0,30.0,30.0,30.0,false,0,0,0
27,Principal,2023-12-31,2023-12,Migada Guisado de Carne,Migada,PIEZA,"Huevo Verde , Nopal",1.0,1.0,120.0,102.0,120.0,false,2,0,0
28,Principal,2023-12-31,2023-12,1/2 Encremadas,Encremada,ORDEN,,1.0,1.0,89.0,89.0,89.0,false,0,0,0
29,Principal,2023-12-31,2023-12,1/2 Enmoladas,Enmolada,ORDEN,,2.0,2.0,155.0,155.0,77.5,false,0,0,0
30,Principal,2023-12-31,2023-12,1/2 Enchiladas Picositas,Enchilada,ORDEN,,2.0,2.0,155.0,155.0,77.5,false,0,0,0
