id,detalle_id,sucursal,fecha,periodo,producto,tipo,valor,token_original,multiplicador,posicion
1,1,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,1
2,1,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Nopal,Nopal,1,2
3,2,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Huevo con Nopal,Huevo con Nopal,1,1
4,3,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Huevo con Nopal,Huevo con Nopal,1,1
5,4,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Huevo con Nopal,Huevo con Nopal,1,1
6,5,Principal,2023-12-31,2023-12,Gorditas Surtidas,CANT_SURTIDO,5,5,1,1
7,6,Principal,2023-12-31,2023-12,Bocoles Surtidos,CANT_SURTIDO,5,5,1,1
8,7,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
9,8,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Barbacoa,Barbacoa,1,1
10,8,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Chicharrón,Chicharrón,1,2
11,9,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Fresca,Fresca,1,1
12,10,Principal,2023-12-31,2023-12,1/2 Enmoladas,EXTRA,Huevo Estrellado Medio (2 pzas.),Huevo Estrellado Medio (2 pzas.),1,1
13,11,Principal,2023-12-31,2023-12,Enchiladas Picositas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
14,12,Principal,2023-12-31,2023-12,Tacos de Maiz,GUISADO,Pollo con Mole,Pollo con Mole,1,1
15,13,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),GUISADO,Deshebrada,Deshebrada,4,1
16,14,Principal,2023-12-31,2023-12,1/2 Entomatadas,EXTRA,Huevo Estrellado Cocido (2 pzas.),Huevo Estrellado Cocido (2 pzas.),1,1
17,15,Principal,2023-12-31,2023-12,1/2 Enchiladas Picositas,EXTRA,Huevo Estrellado Cocido (2 pzas.),Huevo Estrellado Cocido (2 pzas.),1,1
18,16,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Escuis Fresa,Escuis Fresa,1,1
19,17,Principal,2023-12-31,2023-12,Empanadas (4 pzas.),GUISADO,Pollo con Mole,Pollo con Mole,4,1
20,19,Principal,2023-12-31,2023-12,Tacos de Harina,GUISADO,Asado,Asado,1,1
21,20,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Cochinita,Cochinita,1,1
22,20,Principal,2023-12-31,2023-12,Bocoles,EXTRA,Frijoles,Frijoles,1,2
23,21,Principal,2023-12-31,2023-12,Bocoles,GUISADO,Papa con Chorizo,Papa con Chorizo,1,1
24,21,Principal,2023-12-31,2023-12,Bocoles,EXTRA,Frijoles,Frijoles,1,2
25,22,Principal,2023-12-31,2023-12,1/2 Enchiladas Rojas,PETICION,Sin Verduras,Sin Verduras,1,1
26,23,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,1
27,24,Principal,2023-12-31,2023-12,Plátano Frito,VARIANTE,Lechera,Lechera,1,1
28,25,Principal,2023-12-31,2023-12,Entomatadas,EXTRA,Bistec (1 pza.),Bistec (1 pza.),1,1
29,25,Principal,2023-12-31,2023-12,Entomatadas,PETICION,Sin Crema,Sin Crema,1,2
30,26,Principal,2023-12-31,2023-12,Refresco 600 ml.,VARIANTE,Escuis Hierro,Escuis Hierro,1,1
31,27,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Huevo Verde,Huevo Verde,1,1
32,27,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Nopal,Nopal,1,2
33,31,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,1,1
34,31,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Chicharrón,Chicharrón,1,2
35,31,Principal,2023-12-31,2023-12,Migada Guisado de Carne,PETICION,Sin Tomate,Sin Tomate,1,3
36,32,Principal,2023-12-31,2023-12,Migada Guisado de Carne,GUISADO,Deshebrada,Deshebrada,2,1
37,32,Principal,2023-12-31,2023-12,Migada Guisado de Carne,PETICION,Sin Tomate,Sin Tomate,1,2
38,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Deshebrada,Deshebrada,1,1
39,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Huevo Rojo,Huevo Rojo,1,2
40,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Huevo Verde,Huevo Verde,1,3
41,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Barbacoa,Barbacoa,1,4
42,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Asado,Asado,1,5
43,33,Principal,2023-12-31,2023-12,Enchiladas Picositas,GUISADO,Pollo con Mole,Pollo con Mole,1,6
44,34,Principal,2023-12-31,2023-12,1/2 Encremadas,GUISADO,Molida,Molida,3,1
