fecha,extra,producto,porciones,pedidos,unidades,es_segundo_guiso,grupo,agrupado,real
2023-08-21,Frijoles,Gorditas,3,3,3.0,f,,Frijoles,t
2023-08-21,Huevo Estrellado Tierno (2 pzas.),Enchiladas Picositas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-21,Huevo Estrellado Tierno (2 pzas.),Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-21,Huevo Revuelto (2 pzas.),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-21,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-22,Frijoles,Gorditas,1,1,2.0,f,,Frijoles,t
2023-08-22,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-23,Bistec (1 pza.),Enchiladas Picositas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-23,Bistec (1 pza.),Entomatadas,2,2,2.0,f,,Bistec (1 pza.),t
2023-08-23,Huevo Revuelto (2 pzas.),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-23,Huevo Revuelto (2 pzas.),Enmoladas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-23,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-23,Huevo Revuelto (p/relleno),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-24,Bistec (1 pza.),Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-24,Frijoles,Bocoles,1,1,1.0,f,,Frijoles,t
2023-08-25,Bistec (1 pza.),1/2 Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-25,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-25,Frijoles,Gorditas,1,1,2.0,f,,Frijoles,t
2023-08-25,Frijoles,Tacos de Harina,1,1,1.0,f,,Frijoles,t
2023-08-25,Frijoles con Queso (guiso extra),Tacos de Harina,1,1,1.0,t,,Frijoles con Queso (guiso extra),t
2023-08-25,Huevo Estrellado Cocido (2 pzas.),1/2 Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-25,Huevo Revuelto (2 pzas.),1/2 Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-25,Huevo Revuelto (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-25,Huevo Revuelto (2 pzas.),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-25,Huevo Revuelto (2 pzas.),Enfrijoladas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-25,Huevo Revuelto (p/relleno),Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-26,Frijoles,Gorditas,4,4,5.0,f,,Frijoles,t
2023-08-26,Frijoles con Queso (guiso extra),Bocoles,1,1,1.0,t,,Frijoles con Queso (guiso extra),t
2023-08-26,Frijoles con Queso (guiso extra),Tacos de Maiz,1,1,2.0,t,,Frijoles con Queso (guiso extra),t
2023-08-26,Huevo Estrellado Cocido (2 pzas.),Enchiladas Picositas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-26,Huevo Estrellado Medio (2 pzas.),1/2 Encremadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-26,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,2.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-26,Huevo Estrellado Tierno (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-26,Queso,Empanadas (4 pzas.),1,1,1.0,f,,Queso,f
2023-08-27,Bistec (1 pza.),1/2 Encremadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-27,Bistec (1 pza.),1/2 Entomatadas,2,2,3.0,f,,Bistec (1 pza.),t
2023-08-27,Bistec (1 pza.),Enchiladas Picositas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-27,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-27,Frijoles con Queso (guiso extra),Gorditas,1,1,1.0,t,,Frijoles con Queso (guiso extra),t
2023-08-27,Frijoles con Queso (guiso extra),Tacos de Harina,1,1,3.0,t,,Frijoles con Queso (guiso extra),t
2023-08-27,Huevo Estrellado Cocido (2 pzas.),1/2 Entomatadas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-27,Huevo Estrellado Tierno (2 pzas.),1/2 Enchiladas Rojas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-27,Huevo Revuelto (2 pzas.),1/2 Enmoladas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-27,Huevo Revuelto (2 pzas.),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-27,Huevo Revuelto (p/relleno),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-27,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-27,Huevo Revuelto (p/relleno),Enmoladas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-28,Bistec (1 pza.),1/2 Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-28,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-28,Frijoles,Bocoles,2,2,2.0,f,,Frijoles,t
2023-08-28,Frijoles,Tacos de Harina,3,3,5.0,f,,Frijoles,t
2023-08-28,Frijoles con Queso (guiso extra),Tacos de Harina,1,1,4.0,t,,Frijoles con Queso (guiso extra),t
2023-08-28,Huevo Estrellado Tierno (2 pzas.),1/2 Empanadas (2 pzas.),1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-28,Huevo Revuelto (2 pzas.),1/2 Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-28,Huevo Revuelto (2 pzas.),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-28,Huevo Revuelto (p/relleno),1/2 Encremadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-28,Huevo Revuelto (p/relleno),Enchiladas Picositas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-29,Bistec (1 pza.),1/2 Entomatadas,1,1,2.0,f,,Bistec (1 pza.),t
2023-08-29,Bistec (1 pza.),Enchiladas Rojas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-29,Bistec (1 pza.),Entomatadas,1,1,1.0,f,,Bistec (1 pza.),t
2023-08-29,Frijoles,Bocoles,1,1,2.0,f,,Frijoles,t
2023-08-29,Huevo Estrellado Cocido (2 pzas.),1/2 Enmoladas,1,1,1.0,f,Huevo Estrellado,Huevo Estrellado,t
2023-08-29,Huevo Revuelto (2 pzas.),Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (2 pzas.),t
2023-08-29,Huevo Revuelto (p/relleno),1/2 Enchiladas Rojas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-29,Huevo Revuelto (p/relleno),1/2 Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
2023-08-29,Huevo Revuelto (p/relleno),Entomatadas,1,1,1.0,f,,Huevo Revuelto (p/relleno),t
