extra,producto,periodo,precio_estimado,confianza,casos_medidos
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2023-09,74.00,0.778,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2023-10,74.00,0.876,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2023-11,74.00,0.781,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2023-12,74.00,0.893,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-01,74.00,0.839,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-02,74.00,0.920,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-03,74.00,0.922,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-04,74.00,0.849,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-05,74.00,0.854,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-06,74.00,0.861,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-07,74.00,0.861,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-08,85.00,0.958,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-09,85.00,0.932,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-10,85.00,0.955,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-11,85.00,0.972,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2024-12,85.00,0.911,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-01,85.00,0.905,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-02,85.00,0.905,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-03,85.00,0.905,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-04,102.00,0.950,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-05,102.00,0.975,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-06,102.00,0.915,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-07,102.00,0.979,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-08,102.00,0.965,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-09,102.00,1.000,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-10,102.00,0.935,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-11,102.00,0.989,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2025-12,102.00,0.959,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-01,102.00,0.908,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-02,102.00,0.971,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-03,102.00,0.948,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-04,102.00,0.977,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-05,102.00,0.975,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-06,102.00,0.948,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-07,102.00,0.962,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-08,102.00,1.000,999
Bistec (1 pza.),1/2 Empanadas (2 pzas.),2026-09,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2023-09,74.00,0.778,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2023-10,74.00,0.876,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2023-11,74.00,0.781,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2023-12,74.00,0.893,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-01,74.00,0.839,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-02,74.00,0.920,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-03,74.00,0.922,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-04,74.00,0.849,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-05,74.00,0.854,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-06,74.00,0.861,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-07,74.00,0.861,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-08,85.00,0.958,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-09,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-10,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-11,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2024-12,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-01,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-02,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-03,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-04,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-05,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-06,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-07,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-08,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-09,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-10,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-11,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2025-12,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-01,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-02,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-03,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-04,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-05,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-06,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-07,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-08,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Mixtas (4 Piezas),2026-09,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2023-09,74.00,0.778,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2023-10,74.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2023-11,74.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2023-12,74.00,0.833,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-01,74.00,0.833,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-02,74.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-03,74.00,0.750,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-04,74.00,0.750,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-05,74.00,0.750,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-06,74.00,0.750,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-07,74.00,0.750,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-08,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-09,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-10,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-11,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2024-12,85.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-01,85.00,0.875,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-02,74.00,0.500,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-03,74.00,0.500,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-04,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-05,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-06,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-07,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-08,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-09,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-10,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-11,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2025-12,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2026-01,102.00,0.889,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2026-02,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2026-03,102.00,1.000,999
Bistec (1 pza.),1/2 Enchiladas Picositas,2026-04,102.00,1.000,999
