fecha,guisado,unidades_atribuidas,unidades_presencia,renglones
2026-03-22,Bistec con Papas,12.00000000000000000000,12.00,5
2026-08-11,Deshebrada,43.83333333333333333333,46.00,8
2026-07-21,Huevo con Nopal,5.75000000000000000000,7.00,4
2026-08-04,Huevo Verde,42.83333333333333333333,45.00,9
2026-07-23,Huevo Cascabel,16.0000000000000000,16.00,4
2026-04-16,Papa,8.00000000000000000000,9.00,3
2026-06-22,Papa con Huevo,8.00000000000000000000,8.00,4
2026-06-22,Huevo con Chorizo,13.00000000000000000000,13.00,5
2026-06-19,Requesón Picosito,11.33333333333333333333,13.00,6
2026-03-05,Requeson,4.00000000000000000000,4.00,3
2026-05-26,Huevo con Nopal,3.0000000000000000,3.00,1
2026-03-13,Cochinita,9.00000000000000000000,10.00,5
2026-08-16,Papa con Chorizo,34.50000000000000000000,36.00,6
2026-03-10,Frijoles con Queso,6.50000000000000000000,7.00,3
2026-05-19,Papa con Huevo,11.50000000000000000000,12.00,4
2026-07-22,Molida,35.50000000000000000000,36.00,6
2026-06-21,Frijoles,8.0000000000000000,8.00,1
2026-05-16,Asado,14.50000000000000000000,15.00,4
2026-03-31,Chicharrón,25.50000000000000000000,26.00,4
2026-06-21,Requesón Picosito,9.33333333333333333333,10.00,4
2026-03-06,Barbacoa,9.66666666666666666666,12.00,7
2026-03-01,Frijoles con Queso,18.00000000000000000000,18.00,3
2026-05-10,Papa con Huevo,18.00000000000000000000,18.00,2
2026-07-27,Papa con Huevo,3.00000000000000000000,3.00,2
2026-06-01,Pollo con Mole,6.25000000000000000000,7.00,4
2026-07-14,Huevo con Nopal,3.0000000000000000,3.00,1
2026-04-30,Huevo con Nopal,3.25000000000000000000,4.00,3
2026-05-01,Bistec con Papas,9.50000000000000000000,10.00,3
2026-05-31,Papa con Huevo,12.50000000000000000000,14.00,6
2026-07-26,Papa con Chorizo,19.00000000000000000000,20.00,7
2026-06-16,Queso,3.00000000000000000000,3.00,2
2026-04-11,Queso,3.00000000000000000000,3.00,3
2026-07-13,Barbacoa,6.66666666666666666667,8.00,4
2026-07-09,Deshebrada,44.00000000000000000000,46.00,9
2026-05-26,Papa,5.0000000000000000,5.00,1
2026-08-20,Bistec con Papas,7.50000000000000000000,8.00,3
2026-03-16,Huevo Cascabel,10.00000000000000000000,10.00,3
2026-08-09,Requesón Picosito,4.50000000000000000000,5.00,2
2026-08-09,Frijoles con Queso,21.50000000000000000000,22.00,3
2026-04-03,Huevo Verde,69.50000000000000000000,74.00,13
2026-08-01,Molida,17.28333333333333333333,20.00,7
2026-08-26,Frijoles con Queso,10.00000000000000000000,10.00,3
2026-06-11,Chicharrón,22.25000000000000000000,24.00,6
2026-07-19,Deshebrada,66.00000000000000000000,69.00,12
2026-07-12,Molida,30.75000000000000000000,32.00,7
2026-05-17,Requeson,13.50000000000000000000,14.00,3
2026-03-20,Barbacoa,11.0000000000000000,11.00,3
2026-08-05,Frijoles con Queso,17.25000000000000000000,18.00,3
2026-03-09,Queso,4.00000000000000000000,4.00,4
2026-03-31,Huevo con Nopal,5.0000000000000000,5.00,1
2026-06-11,Cochinita,9.50000000000000000000,11.00,6
2026-03-13,Barbacoa,8.25000000000000000000,9.00,3
2026-03-03,Cochinita,14.0000000000000000,14.00,4
2026-04-23,Nopal,0.50000000000000000000,1.00,1
2026-07-04,Papa con Chorizo,12.50000000000000000000,13.00,5
2026-05-17,Huevo con Chorizo,18.33333333333333333333,19.00,5
2026-05-04,Molida,15.00000000000000000000,16.00,5
2026-06-11,Queso,4.0000000000000000,4.00,2
2026-06-04,Huevo con Chorizo,4.00000000000000000000,4.00,3
2026-03-13,Queso,2.00000000000000000000,2.00,2
2026-05-13,Frijoles con Queso,10.50000000000000000000,11.00,3
2026-03-15,Requesón Picosito,5.50000000000000000000,6.00,5
2026-03-15,Deshebrada,90.83333333333333333333,95.00,18
2026-06-04,Requesón Picosito,5.50000000000000000000,7.00,5
2026-04-15,Deshebrada,37.50000000000000000000,39.00,8
2026-06-29,Papa con Chorizo,6.00000000000000000000,7.00,4
2026-06-22,Frijoles,2.0000000000000000,2.00,1
2026-06-09,Papa,3.00000000000000000000,3.00,2
2026-06-03,Cochinita,15.0000000000000000,15.00,3
2026-04-01,Chicharrón,39.00000000000000000000,40.00,6
2026-06-09,Huevo con Chorizo,8.50000000000000000000,9.00,5
2026-07-10,Huevo Verde,37.50000000000000000000,38.00,4
2026-08-22,Requesón Picosito,7.58333333333333333333,9.00,6
2026-03-20,Huevo con Nopal,4.50000000000000000000,5.00,2
2026-03-02,Frijoles,2.0000000000000000,2.00,1
2026-07-31,Queso,4.00000000000000000000,4.00,3
2026-05-21,Huevo Cascabel,16.00000000000000000000,16.00,5
2026-05-14,Requeson,2.50000000000000000000,3.00,3
2026-06-15,Huevo Rojo,32.00000000000000000000,32.00,5
2026-08-19,Papa con Chorizo,9.58333333333333333333,11.00,6
2026-05-07,Papa con Huevo,12.83333333333333333333,14.00,5
2026-07-03,Papa con Huevo,11.00000000000000000000,11.00,4
2026-04-16,Requesón Picosito,9.25000000000000000000,11.00,6
2026-07-10,Asado,6.33333333333333333333,7.00,4
2026-06-20,Bistec con Papas,14.83333333333333333333,17.00,8
2026-06-09,Papa con Chorizo,7.50000000000000000000,9.00,5
2026-07-29,Molida,20.33333333333333333333,21.00,3
2026-03-25,Chicharrón,25.50000000000000000000,28.00,8
2026-04-07,Huevo Verde,60.50000000000000000000,64.00,9
2026-03-28,Huevo Rojo,39.50000000000000000000,41.00,9
2026-03-19,Chicharrón,27.0000000000000000,27.00,4
2026-06-02,Molida,14.50000000000000000000,15.00,5
2026-04-29,Pollo con Mole,4.00000000000000000000,4.00,2
2026-05-21,Huevo Rojo,8.25000000000000000000,9.00,4
2026-07-06,Molida,15.83333333333333333333,17.00,4
2026-04-06,Queso,2.0000000000000000,2.00,1
2026-08-29,Deshebrada,109.83333333333333333333,115.00,13
2026-07-07,Requeson,9.00000000000000000000,9.00,3
2026-09-04,Bistec con Papas,7.50000000000000000000,8.00,4
