periodo,guisado,unidades_atribuidas,unidades_presencia,renglones
2025-09,Barbacoa,506.58333333333333333332,523.00,89
2026-09,Papa con Huevo,26.41666666666666666667,29.00,16
2026-04,Papa con Chorizo,336.58333333333333333332,354.00,120
2025-04,Requeson,166.33333333333333333333,172.00,69
2024-07,Papa con Chorizo,502.75000000000000000000,530.00,160
2025-01,Frijoles con Queso,602.16666666666666666666,625.00,120
2023-09,Requeson,122.25000000000000000000,128.00,64
2026-03,Requesón Picosito,206.28333333333333333332,214.00,89
2024-10,Huevo Verde,1156.58333333333333333329,1206.00,229
2023-12,Papa con Huevo,292.50000000000000000000,298.00,107
2025-01,Asado,368.74999999999999999997,391.00,129
2026-04,Cochinita,710.53333333333333333331,750.00,200
2023-10,Frijoles,48.00000000000000000000,48.00,20
2026-01,Papa con Chorizo,374.24999999999999999998,397.00,126
2023-09,Papa con Chorizo,343.33333333333333333333,363.00,123
2024-01,Huevo Cascabel,453.03333333333333333332,469.00,126
2025-04,Papa,255.66666666666666666666,264.00,70
2023-09,Papa,154.83333333333333333333,164.00,59
2023-10,Cochinita,602.16666666666666666666,622.00,151
2023-11,Asado,254.74999999999999999999,266.00,107
2026-02,Huevo Rojo,635.99999999999999999997,664.00,154
2026-05,Huevo Rojo,763.91666666666666666665,788.00,165
2025-07,Requeson,155.91666666666666666666,163.00,63
2025-11,Papa con Huevo,256.49999999999999999999,263.00,94
2025-04,Queso,107.00000000000000000000,107.00,59
2024-10,Chicharrón,1179.91666666666666666663,1246.00,241
2026-06,Requesón Picosito,222.24999999999999999998,240.00,109
2023-10,Huevo con Nopal,125.33333333333333333333,129.00,62
2026-04,Bistec con Papas,323.44999999999999999998,344.00,121
2025-11,Frijoles,90.50000000000000000000,92.00,32
2024-09,Nopal,128.00000000000000000000,133.00,54
2024-04,Bistec con Papas,245.41666666666666666666,261.00,104
2026-04,Frijoles con Queso,556.41666666666666666666,581.00,129
2025-03,Frijoles con Queso,615.91666666666666666666,636.00,110
2024-11,Huevo Cascabel,430.99999999999999999997,453.00,136
2026-04,Queso,87.00000000000000000000,87.00,54
2025-01,Pollo con Mole,351.99999999999999999998,368.00,107
2026-08,Cochinita,676.61666666666666666663,722.00,210
2025-11,Huevo con Nopal,171.16666666666666666666,177.00,75
2025-03,Huevo Verde,1086.78333333333333333327,1147.00,232
2024-04,Cochinita,525.33333333333333333331,556.00,175
2025-11,Huevo Cascabel,379.94999999999999999999,399.00,121
2024-02,Huevo con Chorizo,232.83333333333333333333,244.00,107
2025-02,Barbacoa,342.33333333333333333333,352.00,68
2025-04,Molida,596.24999999999999999996,630.00,167
2024-12,Frijoles,131.00000000000000000000,131.00,46
2023-10,Huevo con Chorizo,293.91666666666666666666,303.00,112
2025-06,Papa con Huevo,326.08333333333333333333,334.00,100
2025-08,Papa,241.83333333333333333333,243.00,55
2024-03,Huevo Rojo,680.36666666666666666665,705.00,145
2024-09,Papa,230.50000000000000000000,239.00,63
2024-10,Huevo Cascabel,412.33333333333333333332,425.00,121
2024-02,Chicharrón,896.33333333333333333331,947.00,189
2024-09,Papa con Chorizo,475.66666666666666666665,509.00,152
2025-02,Frijoles con Queso,509.08333333333333333333,517.00,98
2026-05,Frijoles con Queso,592.91666666666666666666,616.00,130
2025-11,Queso,83.00000000000000000000,83.00,39
2024-08,Requeson,160.03333333333333333334,170.00,75
2024-02,Huevo con Nopal,122.08333333333333333333,126.00,59
2024-11,Cochinita,656.24999999999999999997,698.00,185
2025-02,Bistec con Papas,324.08333333333333333330,342.00,115
2024-08,Requesón Picosito,177.75000000000000000000,188.00,85
2023-10,Pollo con Mole,243.25000000000000000000,248.00,84
2026-03,Papa con Chorizo,373.33333333333333333330,399.00,143
2026-09,Frijoles con Queso,86.00000000000000000000,87.00,17
2026-05,Huevo Cascabel,479.58333333333333333331,498.00,126
2025-03,Papa con Huevo,331.24999999999999999999,346.00,94
2024-12,Barbacoa,589.16666666666666666666,602.00,111
2023-12,Huevo con Nopal,154.08333333333333333333,159.00,68
2024-09,Papa con Huevo,307.25000000000000000000,314.00,95
2025-07,Huevo con Chorizo,340.99999999999999999999,355.00,136
2026-03,Huevo con Chorizo,294.75000000000000000000,303.00,111
2025-11,Frijoles con Queso,501.66666666666666666666,531.00,111
2025-11,Molida,624.69999999999999999997,661.00,172
2024-09,Huevo Rojo,818.33333333333333333333,845.00,169
2024-08,Barbacoa,601.75000000000000000000,623.00,122
2024-05,Frijoles con Queso,489.28333333333333333333,497.00,101
2023-08,Asado,116.08333333333333333333,119.00,36
2025-11,Barbacoa,532.24999999999999999997,553.00,102
2025-06,Papa con Chorizo,422.08333333333333333332,443.00,128
2023-10,Requeson,125.33333333333333333333,132.00,65
2024-10,Deshebrada,1609.58333333333333333327,1689.00,328
2024-01,Papa con Huevo,213.45000000000000000000,219.00,86
2026-05,Huevo con Nopal,158.91666666666666666666,166.00,74
2024-06,Cochinita,651.24999999999999999997,692.00,197
2026-08,Requesón Picosito,217.24999999999999999999,228.00,93
2023-10,Chicharrón,969.58333333333333333333,1009.00,186
2024-10,Papa,181.49999999999999999999,186.00,62
2023-09,Huevo Rojo,562.50000000000000000000,581.00,132
2026-09,Queso,2.00000000000000000000,2.00,2
2026-01,Frijoles,52.00000000000000000000,52.00,25
2023-09,Requesón Picosito,91.08333333333333333333,95.00,45
2024-01,Papa,181.58333333333333333333,190.00,70
2025-03,Huevo con Chorizo,292.69999999999999999999,311.00,136
2023-09,Cochinita,494.41666666666666666666,516.00,144
2026-05,Queso,97.00000000000000000000,97.00,42
2024-04,Papa,149.50000000000000000000,154.00,58
2026-01,Huevo Rojo,719.99999999999999999999,741.00,158
2025-04,Pollo con Mole,287.74999999999999999999,302.00,103
2024-06,Huevo Verde,1240.08333333333333333329,1305.00,257
2023-12,Barbacoa,465.41666666666666666666,479.00,95
2026-08,Asado,311.19999999999999999997,336.00,134
2024-01,Huevo con Nopal,136.75000000000000000000,142.00,64
2026-04,Huevo con Nopal,203.33333333333333333333,209.00,75
2026-06,Molida,509.33333333333333333330,545.00,168
2024-03,Papa con Chorizo,362.16666666666666666665,391.00,148
2024-07,Papa,205.00000000000000000000,212.00,66
2023-12,Queso,90.00000000000000000000,90.00,48
2023-09,Huevo con Nopal,92.75000000000000000000,94.00,46
2025-03,Requeson,149.50000000000000000000,157.00,62
2025-06,Nopal,126.33333333333333333333,129.00,53
2024-11,Huevo Verde,1209.66666666666666666663,1268.00,242
2025-03,Papa con Chorizo,390.44999999999999999997,423.00,149
2026-02,Molida,425.24999999999999999994,459.00,154
2024-12,Huevo con Chorizo,325.91666666666666666666,336.00,132
2024-10,Huevo con Nopal,108.83333333333333333333,114.00,62
2025-09,Queso,80.00000000000000000000,80.00,46
2026-01,Requeson,106.91666666666666666666,110.00,53
2025-04,Huevo con Nopal,155.25000000000000000000,158.00,60
2026-07,Deshebrada,1840.19999999999999999994,1938.00,388
2025-04,Huevo Verde,1231.91666666666666666660,1295.00,242
2025-10,Papa con Huevo,224.25000000000000000000,228.00,81
2026-08,Huevo con Nopal,239.28333333333333333333,243.00,78
2025-10,Barbacoa,400.16666666666666666665,416.00,97
2023-10,Huevo Rojo,623.66666666666666666665,643.00,152
2023-11,Frijoles con Queso,494.16666666666666666666,499.00,94
2023-10,Barbacoa,327.83333333333333333332,338.00,72
2026-09,Nopal,29.50000000000000000000,33.00,12
2023-08,Papa,61.50000000000000000000,62.00,17
2025-10,Huevo Verde,1059.24999999999999999996,1112.00,227
2024-02,Papa con Huevo,175.24999999999999999999,181.00,86
2026-03,Huevo Rojo,644.53333333333333333331,674.00,169
2025-02,Deshebrada,1398.66666666666666666662,1478.00,306
2026-03,Deshebrada,1809.66666666666666666659,1907.00,388
2024-01,Chicharrón,941.61666666666666666664,1002.00,215
2024-12,Papa,256.99999999999999999999,262.00,70
2024-12,Huevo Rojo,850.83333333333333333330,881.00,172
2024-07,Frijoles,146.00000000000000000000,146.00,44
2025-09,Huevo Verde,1191.08333333333333333330,1252.00,249
2025-11,Nopal,131.50000000000000000000,132.00,51
2024-06,Nopal,106.00000000000000000000,107.00,45
2026-08,Requeson,180.24999999999999999999,189.00,82
2024-04,Pollo con Mole,145.99999999999999999999,154.00,70
2026-02,Huevo Verde,1051.99999999999999999995,1110.00,224
2025-04,Huevo con Chorizo,308.66666666666666666664,324.00,125
2025-09,Chicharrón,1144.74999999999999999997,1215.00,237
2025-03,Huevo con Nopal,184.41666666666666666666,191.00,73
2026-07,Requesón Picosito,234.49999999999999999998,250.00,104
2025-09,Deshebrada,1812.83333333333333333331,1899.00,347
2024-08,Papa con Huevo,253.78333333333333333333,263.00,100
2023-09,Queso,52.00000000000000000000,52.00,26
2025-07,Chicharrón,1100.66666666666666666660,1172.00,239
2026-08,Pollo con Mole,272.18333333333333333332,293.00,121
2025-02,Chicharrón,1091.36666666666666666662,1151.00,223
2025-03,Bistec con Papas,307.16666666666666666664,331.00,117
2025-06,Bistec con Papas,352.24999999999999999999,370.00,123
2023-10,Molida,538.91666666666666666665,560.00,144
2024-01,Asado,324.33333333333333333332,341.00,113
2025-04,Bistec con Papas,366.66666666666666666666,389.00,118
2025-08,Queso,86.00000000000000000000,86.00,45
2025-07,Asado,306.24999999999999999999,319.00,111
2026-05,Bistec con Papas,318.66666666666666666665,345.00,135
2025-11,Chicharrón,1247.03333333333333333329,1324.00,261
2024-08,Bistec con Papas,324.58333333333333333333,347.00,127
2024-11,Chicharrón,1134.24999999999999999994,1207.00,248
2023-10,Papa con Chorizo,395.33333333333333333333,407.00,120
2026-09,Huevo con Nopal,32.00000000000000000000,36.00,17
2025-03,Queso,49.00000000000000000000,49.00,35
