fecha,tipo,modificador,veces,renglones,unidades_afectadas
2026-03-01,EXTRA,Bistec (1 pza.),15,15,17.00
2026-03-01,EXTRA,Doble Guiso,3,3,6.00
2026-03-01,EXTRA,Frijoles,2,2,7.00
2026-03-01,EXTRA,Huevo Estrellado Ciego (2 pzas.),1,1,1.00
2026-03-01,EXTRA,Huevo Estrellado Cocido (2 pzas.),3,3,3.00
2026-03-01,EXTRA,Huevo Estrellado Medio (2 pzas.),3,3,3.00
2026-03-01,EXTRA,Huevo Estrellado Tierno (2 pzas.),6,6,6.00
2026-03-01,EXTRA,Huevo Revuelto (2 pzas.),5,5,6.00
2026-03-01,EXTRA,Huevo Revuelto (p/relleno),4,4,6.00
2026-03-01,EXTRA,Queso,6,5,5.00
2026-03-01,EXTRA,Queso Extra Pieza,3,2,2.00
2026-03-01,EXTRA,Relleno de Guisados,8,8,8.00
2026-03-01,PETICION,Poco Frijol,1,1,1.00
2026-03-01,PETICION,Poco Guiso,1,1,1.00
2026-03-01,PETICION,Sin Aguacate,5,5,5.00
2026-03-01,PETICION,Sin Crema,18,18,20.00
2026-03-01,PETICION,Sin Frijoles,7,7,7.00
2026-03-01,PETICION,Sin Lechuga,8,8,8.00
2026-03-01,PETICION,Sin Queso,4,4,4.00
2026-03-01,PETICION,Sin Tomate,9,9,9.00
2026-03-01,PETICION,Sin Verduras,2,2,2.00
2026-03-01,VARIANTE,Coca Cola,2,2,10.00
2026-03-01,VARIANTE,Coca Cola Sin Azúcar,2,2,10.00
2026-03-01,VARIANTE,Coca Light,1,1,6.00
2026-03-01,VARIANTE,Crema,1,1,1.00
2026-03-01,VARIANTE,Escuis Hierro,1,1,2.00
2026-03-01,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-01,VARIANTE,Leche Aparte,1,1,1.00
2026-03-01,VARIANTE,Lechera,2,2,3.00
2026-03-01,VARIANTE,Lechero,1,1,1.00
2026-03-01,VARIANTE,Mantequilla,1,1,14.00
2026-03-01,VARIANTE,Normal,2,2,86.00
2026-03-01,VARIANTE,Pan Grande Pieza,1,1,18.00
2026-03-01,VARIANTE,Poca leche,1,1,3.00
2026-03-01,VARIANTE,Sprite,1,1,1.00
2026-03-01,VARIANTE,Valle Frut,1,1,2.00
2026-03-02,EXTRA,Bistec (1 pza.),3,3,3.00
2026-03-02,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-02,EXTRA,Huevo Estrellado Tierno (2 pzas.),2,2,2.00
2026-03-02,EXTRA,Huevo Revuelto (p/relleno),1,1,1.00
2026-03-02,EXTRA,Queso,2,2,2.00
2026-03-02,EXTRA,Queso Extra Pieza,3,1,1.00
2026-03-02,EXTRA,Relleno de Guisados,2,2,2.00
2026-03-02,PETICION,Doradita,2,2,3.00
2026-03-02,PETICION,Poca Lechuga,1,1,1.00
2026-03-02,PETICION,Sin Aguacate,2,2,2.00
2026-03-02,PETICION,Sin Crema,7,7,7.00
2026-03-02,PETICION,Sin Lechuga,1,1,1.00
2026-03-02,PETICION,Sin Tomate,3,3,3.00
2026-03-02,PETICION,Sin Verduras,2,2,2.00
2026-03-02,PETICION,Verdura Aparte,1,1,1.00
2026-03-02,VARIANTE,Coca Cola,1,1,6.00
2026-03-02,VARIANTE,Coca Cola Sin Azúcar,1,1,1.00
2026-03-02,VARIANTE,Coca Light,1,1,4.00
2026-03-02,VARIANTE,Crema,1,1,1.00
2026-03-02,VARIANTE,Escuis Hierro,1,1,1.00
2026-03-02,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-02,VARIANTE,Lechero,1,1,1.00
2026-03-02,VARIANTE,Medio,1,1,1.00
2026-03-02,VARIANTE,Normal,2,2,46.00
2026-03-02,VARIANTE,Pan Grande Pieza,1,1,1.00
2026-03-02,VARIANTE,Valle Frut,1,1,1.00
2026-03-03,EXTRA,Bistec (1 pza.),3,3,3.00
2026-03-03,EXTRA,Doble Guiso,2,2,2.00
2026-03-03,EXTRA,Huevo Estrellado Cocido (2 pzas.),2,2,2.00
2026-03-03,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-03,EXTRA,Huevo Estrellado Tierno (2 pzas.),2,2,2.00
2026-03-03,EXTRA,Huevo Revuelto (2 pzas.),1,1,1.00
2026-03-03,EXTRA,Queso,3,3,3.00
2026-03-03,EXTRA,Relleno de Guisados,2,2,2.00
2026-03-03,PETICION,Doradita,4,4,6.00
2026-03-03,PETICION,Escurrida,2,2,4.00
2026-03-03,PETICION,Sin Aguacate,1,1,1.00
2026-03-03,PETICION,Sin Crema,8,8,9.00
2026-03-03,PETICION,Sin Lechuga,3,3,3.00
2026-03-03,PETICION,Sin Queso,1,1,1.00
2026-03-03,PETICION,Sin Tomate,2,2,2.00
2026-03-03,VARIANTE,Coca Cola,2,2,9.00
2026-03-03,VARIANTE,Coca Cola Sin Azúcar,1,1,4.00
2026-03-03,VARIANTE,Coca Light,1,1,1.00
2026-03-03,VARIANTE,Escuis Fresa,1,1,1.00
2026-03-03,VARIANTE,Escuis Hierro,1,1,1.00
2026-03-03,VARIANTE,Leche Aparte,1,1,1.00
2026-03-03,VARIANTE,Normal,2,2,43.00
2026-03-03,VARIANTE,Pan Grande Pieza,1,1,1.00
2026-03-04,EXTRA,Bistec (1 pza.),3,3,4.00
2026-03-04,EXTRA,Huevo Estrellado Cocido (2 pzas.),2,2,2.00
2026-03-04,EXTRA,Huevo Estrellado Medio (2 pzas.),2,2,2.00
2026-03-04,EXTRA,Huevo Estrellado Tierno (2 pzas.),3,3,3.00
2026-03-04,EXTRA,Huevo Revuelto (p/relleno),2,2,2.00
2026-03-04,EXTRA,Relleno de Guisados,3,3,3.00
2026-03-04,PETICION,Poca Lechuga,2,2,2.00
2026-03-04,PETICION,Sin Crema,1,1,1.00
2026-03-04,PETICION,Sin Lechuga,2,2,2.00
2026-03-04,PETICION,Sin Tomate,2,2,2.00
2026-03-04,PETICION,Sin Verduras,1,1,1.00
2026-03-04,VARIANTE,Coca Cola,2,2,4.00
2026-03-04,VARIANTE,Coca Cola Sin Azúcar,2,2,7.00
2026-03-04,VARIANTE,Coca Light,1,1,2.00
2026-03-04,VARIANTE,Cocido,1,1,1.00
2026-03-04,VARIANTE,Leche Aparte,1,1,1.00
2026-03-04,VARIANTE,Mantequilla,1,1,5.00
2026-03-04,VARIANTE,Normal,2,2,35.00
2026-03-04,VARIANTE,Pan Grande Pieza,1,1,3.00
2026-03-05,EXTRA,Bistec (1 pza.),3,3,3.00
2026-03-05,EXTRA,Chorizo,2,2,2.00
2026-03-05,EXTRA,Frijoles,1,1,1.00
2026-03-05,EXTRA,Huevo Estrellado Cocido (2 pzas.),1,1,1.00
2026-03-05,EXTRA,Huevo Estrellado Medio (2 pzas.),1,1,1.00
2026-03-05,EXTRA,Huevo Estrellado Tierno (2 pzas.),2,2,2.00
2026-03-05,EXTRA,Huevo Revuelto (2 pzas.),2,2,2.00
2026-03-05,EXTRA,Huevo Revuelto (p/relleno),2,2,2.00
2026-03-05,EXTRA,Queso,1,1,1.00
2026-03-05,EXTRA,Relleno de Guisados,3,3,3.00
2026-03-05,PETICION,Doradita,2,2,2.00
2026-03-05,PETICION,Sin Aguacate,1,1,1.00
2026-03-05,PETICION,Sin Crema,3,3,3.00
2026-03-05,PETICION,Sin Lechuga,2,2,2.00
2026-03-05,PETICION,Sin Tomate,1,1,1.00
2026-03-05,PETICION,Sin Verduras,2,2,2.00
2026-03-05,VARIANTE,Coca Cola,1,1,6.00
2026-03-05,VARIANTE,Coca Cola Sin Azúcar,2,2,11.00
2026-03-05,VARIANTE,Coca Light,1,1,1.00
2026-03-05,VARIANTE,Escuis Manzana,1,1,1.00
2026-03-05,VARIANTE,Leche Aparte,1,1,1.00
2026-03-05,VARIANTE,Mantequilla,1,1,4.00
2026-03-05,VARIANTE,Medio,1,1,1.00
2026-03-05,VARIANTE,Normal,2,2,45.00
2026-03-05,VARIANTE,Pan Grande Pieza,1,1,6.00
2026-03-05,VARIANTE,Poca leche,1,1,3.00
2026-03-05,VARIANTE,Sprite,1,1,1.00
2026-03-05,VARIANTE,Tierno,1,1,1.00
2026-03-06,EXTRA,Bistec (1 pza.),7,7,7.00
2026-03-06,EXTRA,Huevo Estrellado Cocido (2 pzas.),1,1,2.00
2026-03-06,EXTRA,Huevo Estrellado Medio (2 pzas.),4,4,4.00
2026-03-06,EXTRA,Huevo Estrellado Tierno (2 pzas.),3,3,3.00
2026-03-06,EXTRA,Huevo Revuelto (2 pzas.),2,2,2.00
2026-03-06,EXTRA,Queso,2,1,1.00
2026-03-06,EXTRA,Relleno de Guisados,1,1,1.00
2026-03-06,PETICION,Doradita,6,5,9.00
2026-03-06,PETICION,Escurrida,2,1,3.00
2026-03-06,PETICION,Frijoles Aparte,1,1,1.00
