periodo,tipo,modificador,veces,renglones,unidades_afectadas
2023-08,EXTRA,Bistec (1 pza.),22,22,26.00
2023-08,EXTRA,Frijoles,18,18,25.00
2023-08,EXTRA,Huevo Estrellado Cocido (2 pzas.),4,4,4.00
2023-08,EXTRA,Huevo Estrellado Medio (2 pzas.),3,3,4.00
2023-08,EXTRA,Huevo Estrellado Tierno (2 pzas.),7,7,8.00
2023-08,EXTRA,Huevo Revuelto (2 pzas.),15,15,15.00
2023-08,EXTRA,Huevo Revuelto (p/relleno),14,14,14.00
2023-08,EXTRA,Queso,1,1,1.00
2023-08,PETICION,Doradita,3,3,4.00
2023-08,PETICION,Escurrida,2,2,5.00
2023-08,PETICION,Poca Lechuga,2,2,2.00
2023-08,PETICION,Sin Aguacate,5,5,5.00
2023-08,PETICION,Sin Crema,12,12,12.00
2023-08,PETICION,Sin Frijoles,3,3,3.00
2023-08,PETICION,Sin Queso,2,2,2.00
2023-08,PETICION,Sin Tomate,2,2,2.00
2023-08,PETICION,Sin Verduras,10,10,10.00
2023-08,VARIANTE,Coca Cola,21,21,93.00
2023-08,VARIANTE,Coca Cola Sin Azúcar,11,11,33.00
2023-08,VARIANTE,Coca Light,5,5,8.00
2023-08,VARIANTE,Delaware,6,6,8.00
2023-08,VARIANTE,Escuis Fresa,2,2,2.00
2023-08,VARIANTE,Escuis Hierro,1,1,1.00
2023-08,VARIANTE,Escuis Manzana,2,2,2.00
2023-08,VARIANTE,Escuis Piña,3,3,4.00
2023-08,VARIANTE,Fanta,2,2,2.00
2023-08,VARIANTE,Migada Delgada,1,1,1.00
2023-08,VARIANTE,Sprite,2,2,2.00
2023-08,VARIANTE,Valle Frut,3,3,4.00
2023-09,EXTRA,Bistec (1 pza.),84,84,97.00
2023-09,EXTRA,Frijoles,23,23,34.00
2023-09,EXTRA,Huevo Estrellado Cocido (2 pzas.),34,34,36.00
2023-09,EXTRA,Huevo Estrellado Medio (2 pzas.),26,26,30.00
2023-09,EXTRA,Huevo Estrellado Tierno (2 pzas.),18,18,19.00
2023-09,EXTRA,Huevo Revuelto (2 pzas.),70,70,88.00
2023-09,EXTRA,Huevo Revuelto (p/relleno),16,16,16.00
2023-09,EXTRA,Queso,30,21,24.00
2023-09,EXTRA,Relleno de Guisados,8,8,8.00
2023-09,PETICION,Doradita,2,2,5.00
2023-09,PETICION,Escurrida,6,6,8.00
2023-09,PETICION,Poca Lechuga,8,8,8.00
2023-09,PETICION,Poco Guiso,1,1,1.00
2023-09,PETICION,Sin Aguacate,31,30,30.00
2023-09,PETICION,Sin Crema,80,79,83.00
2023-09,PETICION,Sin Frijoles,7,7,7.00
2023-09,PETICION,Sin Lechuga,33,32,33.00
2023-09,PETICION,Sin Queso,10,9,9.00
2023-09,PETICION,Sin Tomate,30,29,29.00
2023-09,PETICION,Sin Verduras,19,19,20.00
2023-09,VARIANTE,Coca Cola,51,51,226.00
2023-09,VARIANTE,Coca Cola Sin Azúcar,27,27,66.00
2023-09,VARIANTE,Coca Light,19,19,37.00
2023-09,VARIANTE,Delaware,12,12,15.00
2023-09,VARIANTE,Escuis Fresa,9,9,10.00
2023-09,VARIANTE,Escuis Hierro,6,6,9.00
2023-09,VARIANTE,Escuis Manzana,10,10,13.00
2023-09,VARIANTE,Escuis Piña,9,9,10.00
2023-09,VARIANTE,Fanta,8,8,8.00
2023-09,VARIANTE,Fresca,5,5,5.00
2023-09,VARIANTE,Migada Delgada,4,4,4.00
2023-09,VARIANTE,Naturales,1,1,1.00
2023-09,VARIANTE,Sprite,5,5,6.00
2023-09,VARIANTE,Valle Frut,7,7,7.00
2023-10,EXTRA,Bistec (1 pza.),106,106,127.00
2023-10,EXTRA,Frijoles,38,38,56.00
2023-10,EXTRA,Huevo Estrellado Cocido (2 pzas.),38,38,45.00
2023-10,EXTRA,Huevo Estrellado Medio (2 pzas.),43,43,45.00
2023-10,EXTRA,Huevo Estrellado Tierno (2 pzas.),24,24,24.00
2023-10,EXTRA,Huevo Revuelto (2 pzas.),82,82,98.00
2023-10,EXTRA,Huevo Revuelto (p/relleno),23,23,25.00
2023-10,EXTRA,Queso,30,21,25.00
2023-10,EXTRA,Relleno de Guisados,29,28,29.00
2023-10,PETICION,Doradita,1,1,1.00
2023-10,PETICION,En dos platos,1,1,1.00
2023-10,PETICION,Poca Lechuga,14,14,14.00
2023-10,PETICION,Poco Guiso,1,1,1.00
2023-10,PETICION,Sin Aguacate,20,20,20.00
2023-10,PETICION,Sin Crema,94,94,100.00
2023-10,PETICION,Sin Frijoles,5,5,5.00
2023-10,PETICION,Sin Lechuga,30,30,30.00
2023-10,PETICION,Sin Queso,7,7,8.00
2023-10,PETICION,Sin Tomate,31,31,31.00
2023-10,PETICION,Sin Verduras,18,18,19.00
2023-10,VARIANTE,Coca Cola,57,57,227.00
2023-10,VARIANTE,Coca Cola Sin Azúcar,29,29,90.00
2023-10,VARIANTE,Coca Light,20,20,37.00
2023-10,VARIANTE,Delaware,12,12,18.00
2023-10,VARIANTE,Escuis Fresa,7,7,7.00
2023-10,VARIANTE,Escuis Hierro,8,8,9.00
2023-10,VARIANTE,Escuis Manzana,13,13,17.00
2023-10,VARIANTE,Escuis Piña,5,5,5.00
2023-10,VARIANTE,Fanta,4,4,5.00
2023-10,VARIANTE,Fresca,3,3,3.00
2023-10,VARIANTE,Migada Delgada,1,1,1.00
2023-10,VARIANTE,Naturales,4,4,5.00
2023-10,VARIANTE,Sprite,7,7,7.00
2023-10,VARIANTE,Valle Frut,8,8,8.00
2023-11,EXTRA,Bistec (1 pza.),121,121,140.00
2023-11,EXTRA,Frijoles,36,36,47.00
2023-11,EXTRA,Huevo Estrellado Cocido (2 pzas.),46,46,54.00
2023-11,EXTRA,Huevo Estrellado Medio (2 pzas.),40,40,46.00
2023-11,EXTRA,Huevo Estrellado Tierno (2 pzas.),19,19,20.00
2023-11,EXTRA,Huevo Revuelto (2 pzas.),64,63,71.00
2023-11,EXTRA,Huevo Revuelto (p/relleno),27,27,30.00
2023-11,EXTRA,Queso,27,22,25.00
2023-11,EXTRA,Relleno de Guisados,21,21,22.00
2023-11,PETICION,Doradita,1,1,1.00
2023-11,PETICION,Poca Lechuga,12,12,12.00
2023-11,PETICION,Poco Guiso,1,1,1.00
2023-11,PETICION,Sin Aguacate,24,24,24.00
2023-11,PETICION,Sin Crema,89,89,95.00
2023-11,PETICION,Sin Frijoles,5,5,5.00
2023-11,PETICION,Sin Lechuga,45,45,47.00
2023-11,PETICION,Sin Queso,2,2,2.00
2023-11,PETICION,Sin Tomate,38,37,37.00
2023-11,PETICION,Sin Verduras,14,14,14.00
2023-11,VARIANTE,Coca Cola,49,49,206.00
2023-11,VARIANTE,Coca Cola Sin Azúcar,24,24,79.00
2023-11,VARIANTE,Coca Light,20,20,40.00
2023-11,VARIANTE,Delaware,13,13,21.00
2023-11,VARIANTE,Escuis Fresa,5,5,6.00
2023-11,VARIANTE,Escuis Hierro,6,6,8.00
2023-11,VARIANTE,Escuis Manzana,10,10,12.00
2023-11,VARIANTE,Escuis Piña,8,8,9.00
2023-11,VARIANTE,Fanta,7,7,10.00
2023-11,VARIANTE,Fresca,5,5,6.00
2023-11,VARIANTE,Migada Delgada,5,4,5.00
2023-11,VARIANTE,Naturales,4,4,5.00
2023-11,VARIANTE,Sprite,2,2,3.00
2023-11,VARIANTE,Valle Frut,3,3,4.00
2023-12,EXTRA,Bistec (1 pza.),199,198,248.00
2023-12,EXTRA,Frijoles,28,28,47.00
2023-12,EXTRA,Huevo Estrellado Cocido (2 pzas.),57,57,62.00
2023-12,EXTRA,Huevo Estrellado Medio (2 pzas.),66,65,77.00
2023-12,EXTRA,Huevo Estrellado Tierno (2 pzas.),36,36,39.00
2023-12,EXTRA,Huevo Revuelto (2 pzas.),94,93,114.00
2023-12,EXTRA,Huevo Revuelto (p/relleno),41,41,42.00
2023-12,EXTRA,Queso,49,30,31.00
2023-12,EXTRA,Relleno de Guisados,32,32,32.00
2023-12,PETICION,Doradita,1,1,2.00
2023-12,PETICION,En dos platos,1,1,1.00
2023-12,PETICION,Escurrida,15,15,28.00
2023-12,PETICION,Frijoles Aparte,1,1,1.00
2023-12,PETICION,Poca Lechuga,18,18,19.00
2023-12,PETICION,Poco Frijol,1,1,1.00
2023-12,PETICION,Poco Guiso,1,1,1.00
2023-12,PETICION,Sin Aguacate,48,48,53.00
2023-12,PETICION,Sin Crema,147,147,159.00
2023-12,PETICION,Sin Frijoles,22,22,23.00
2023-12,PETICION,Sin Lechuga,47,47,49.00
2023-12,PETICION,Sin Queso,10,10,10.00
2023-12,PETICION,Sin Tomate,59,59,61.00
2023-12,PETICION,Sin Verduras,42,42,47.00
2023-12,PETICION,Verdura Aparte,3,3,3.00
2023-12,VARIANTE,Coca Cola,59,59,283.00
2023-12,VARIANTE,Coca Cola Sin Azúcar,27,27,85.00
2023-12,VARIANTE,Coca Light,21,21,44.00
2023-12,VARIANTE,Crema,14,14,15.00
2023-12,VARIANTE,Delaware,17,17,30.00
2023-12,VARIANTE,Escuis Fresa,10,10,16.00
2023-12,VARIANTE,Escuis Hierro,9,9,13.00
2023-12,VARIANTE,Escuis Manzana,11,11,14.00
2023-12,VARIANTE,Escuis Piña,11,11,11.00
2023-12,VARIANTE,Fanta,8,8,11.00
2023-12,VARIANTE,Fresca,4,4,5.00
2023-12,VARIANTE,Lechera,10,10,15.00
2023-12,VARIANTE,Mantequilla,24,21,61.00
2023-12,VARIANTE,Mermelada de Fresa,1,1,1.00
2023-12,VARIANTE,Migada Delgada,8,7,8.00
2023-12,VARIANTE,Natural,3,3,3.00
2023-12,VARIANTE,Naturales,9,9,11.00
2023-12,VARIANTE,Pan Chico Pieza,19,19,38.00
2023-12,VARIANTE,Sprite,5,5,6.00
2023-12,VARIANTE,Valle Frut,10,10,13.00
2024-01,EXTRA,Bistec (1 pza.),153,153,186.00
2024-01,EXTRA,Frijoles,35,35,40.00
2024-01,EXTRA,Huevo Estrellado Cocido (2 pzas.),51,51,55.00
2024-01,EXTRA,Huevo Estrellado Medio (2 pzas.),57,57,63.00
2024-01,EXTRA,Huevo Estrellado Tierno (2 pzas.),16,16,17.00
2024-01,EXTRA,Huevo Revuelto (2 pzas.),70,70,79.00
2024-01,EXTRA,Huevo Revuelto (p/relleno),33,33,34.00
2024-01,EXTRA,Queso,48,35,41.00
2024-01,EXTRA,Relleno de Guisados,29,26,27.00
2024-01,PETICION,Doradita,10,10,12.00
2024-01,PETICION,En dos platos,1,1,1.00
2024-01,PETICION,Escurrida,50,48,109.00
2024-01,PETICION,Frijoles Aparte,4,4,6.00
2024-01,PETICION,Poca Lechuga,12,12,12.00
2024-01,PETICION,Poco Frijol,1,1,1.00
2024-01,PETICION,Poco Guiso,2,2,2.00
2024-01,PETICION,Sin Aguacate,36,36,36.00
2024-01,PETICION,Sin Crema,119,119,123.00
2024-01,PETICION,Sin Frijoles,10,10,11.00
2024-01,PETICION,Sin Lechuga,32,32,32.00
2024-01,PETICION,Sin Queso,13,13,13.00
2024-01,PETICION,Sin Tomate,31,31,31.00
2024-01,PETICION,Sin Verduras,35,35,42.00
2024-01,PETICION,Verdura Aparte,5,5,7.00
2024-01,VARIANTE,Coca Cola,55,55,235.00
2024-01,VARIANTE,Coca Cola Sin Azúcar,24,24,60.00
2024-01,VARIANTE,Coca Light,20,20,39.00
2024-01,VARIANTE,Crema,19,19,22.00
2024-01,VARIANTE,Delaware,15,15,17.00
2024-01,VARIANTE,Escuis Fresa,3,3,3.00
2024-01,VARIANTE,Escuis Hierro,6,6,8.00
2024-01,VARIANTE,Escuis Manzana,13,13,19.00
2024-01,VARIANTE,Escuis Piña,7,7,9.00
2024-01,VARIANTE,Fanta,5,5,6.00
2024-01,VARIANTE,Fresca,4,4,4.00
2024-01,VARIANTE,Leche Aparte,1,1,1.00
2024-01,VARIANTE,Lechera,13,11,13.00
2024-01,VARIANTE,Lechero,3,3,4.00
2024-01,VARIANTE,Mantequilla,23,22,68.00
2024-01,VARIANTE,Migada Delgada,2,2,2.00
2024-01,VARIANTE,Natural,7,7,9.00
2024-01,VARIANTE,Naturales,14,14,17.00
2024-01,VARIANTE,Normal,9,9,111.00
2024-01,VARIANTE,Pan Chico Pieza,27,27,90.00
2024-01,VARIANTE,Poca leche,2,2,3.00
2024-01,VARIANTE,Sprite,7,7,9.00
2024-01,VARIANTE,Valle Frut,6,6,8.00
2024-02,EXTRA,Bistec (1 pza.),142,142,173.00
2024-02,EXTRA,Frijoles,34,34,47.00
2024-02,EXTRA,Huevo Estrellado Cocido (2 pzas.),45,45,54.00
2024-02,EXTRA,Huevo Estrellado Medio (2 pzas.),41,41,42.00
2024-02,EXTRA,Huevo Estrellado Tierno (2 pzas.),40,40,45.00
2024-02,EXTRA,Huevo Revuelto (2 pzas.),62,62,69.00
2024-02,EXTRA,Huevo Revuelto (p/relleno),39,39,41.00
2024-02,EXTRA,Queso,45,31,37.00
2024-02,EXTRA,Relleno de Guisados,36,36,37.00
2024-02,PETICION,Doradita,1,1,1.00
2024-02,PETICION,En dos platos,2,2,2.00
2024-02,PETICION,Escurrida,35,25,53.00
2024-02,PETICION,Frijoles Aparte,1,1,1.00
2024-02,PETICION,Poca Lechuga,11,11,11.00
2024-02,PETICION,Poco Frijol,4,4,4.00
2024-02,PETICION,Sin Aguacate,29,29,29.00
2024-02,PETICION,Sin Crema,129,129,133.00
2024-02,PETICION,Sin Frijoles,17,17,17.00
2024-02,PETICION,Sin Lechuga,34,34,34.00
2024-02,PETICION,Sin Queso,13,13,13.00
2024-02,PETICION,Sin Tomate,36,36,37.00
2024-02,PETICION,Sin Verduras,31,31,41.00
2024-02,PETICION,Verdura Aparte,3,3,3.00
2024-02,VARIANTE,Coca Cola,55,55,207.00
2024-02,VARIANTE,Coca Cola Sin Azúcar,24,24,78.00
2024-02,VARIANTE,Coca Light,19,19,29.00
2024-02,VARIANTE,Crema,9,9,9.00
2024-02,VARIANTE,Delaware,11,11,17.00
2024-02,VARIANTE,Diluido con Agua,1,1,1.00
2024-02,VARIANTE,Escuis Fresa,6,6,6.00
2024-02,VARIANTE,Escuis Hierro,7,7,9.00
2024-02,VARIANTE,Escuis Manzana,13,13,14.00
2024-02,VARIANTE,Escuis Piña,5,5,5.00
2024-02,VARIANTE,Fanta,3,3,3.00
2024-02,VARIANTE,Fresca,3,3,3.00
2024-02,VARIANTE,Leche Aparte,8,8,15.00
2024-02,VARIANTE,Lechera,9,9,11.00
2024-02,VARIANTE,Lechero,15,15,23.00
2024-02,VARIANTE,Mantequilla,27,26,87.00
2024-02,VARIANTE,Migada Delgada,5,5,5.00
2024-02,VARIANTE,Natural,3,3,4.00
2024-02,VARIANTE,Naturales,11,11,12.00
2024-02,VARIANTE,Normal,56,56,789.00
2024-02,VARIANTE,Pan Chico Pieza,27,27,101.00
2024-02,VARIANTE,Poca leche,7,7,7.00
2024-02,VARIANTE,Sprite,4,4,4.00
2024-02,VARIANTE,Valle Frut,1,1,1.00
2024-03,EXTRA,Bistec (1 pza.),151,151,177.00
2024-03,EXTRA,Frijoles,28,28,39.00
2024-03,EXTRA,Huevo Estrellado Cocido (2 pzas.),39,38,43.00
2024-03,EXTRA,Huevo Estrellado Medio (2 pzas.),53,53,64.00
2024-03,EXTRA,Huevo Estrellado Tierno (2 pzas.),31,31,39.00
2024-03,EXTRA,Huevo Revuelto (2 pzas.),69,69,79.00
2024-03,EXTRA,Huevo Revuelto (p/relleno),39,39,45.00
2024-03,EXTRA,Queso,68,50,58.00
2024-03,EXTRA,Relleno de Guisados,21,21,21.00
2024-03,PETICION,Doradita,3,3,5.00
2024-03,PETICION,En dos platos,2,2,2.00
2024-03,PETICION,Escurrida,16,13,40.00
2024-03,PETICION,Frijoles Aparte,17,16,17.00
2024-03,PETICION,Poca Lechuga,13,13,15.00
2024-03,PETICION,Poco Frijol,5,5,5.00
2024-03,PETICION,Poco Guiso,5,5,5.00
2024-03,PETICION,Sin Aguacate,48,48,48.00
2024-03,PETICION,Sin Crema,171,165,181.00
2024-03,PETICION,Sin Frijoles,16,16,16.00
2024-03,PETICION,Sin Lechuga,74,73,74.00
2024-03,PETICION,Sin Queso,20,20,20.00
2024-03,PETICION,Sin Tomate,72,71,72.00
2024-03,PETICION,Sin Verduras,45,45,46.00
2024-03,PETICION,Verdura Aparte,18,18,19.00
2024-03,VARIANTE,Coca Cola,59,59,271.00
2024-03,VARIANTE,Coca Cola Sin Azúcar,27,27,78.00
2024-03,VARIANTE,Coca Light,22,22,37.00
2024-03,VARIANTE,Crema,11,11,16.00
2024-03,VARIANTE,Delaware,18,18,20.00
2024-03,VARIANTE,Escuis Fresa,6,6,6.00
2024-03,VARIANTE,Escuis Hierro,5,5,5.00
2024-03,VARIANTE,Escuis Manzana,8,8,11.00
2024-03,VARIANTE,Escuis Piña,7,7,7.00
2024-03,VARIANTE,Fanta,5,5,7.00
2024-03,VARIANTE,Fresca,8,8,9.00
2024-03,VARIANTE,Leche Aparte,4,4,5.00
2024-03,VARIANTE,Lechera,14,14,18.00
2024-03,VARIANTE,Lechero,13,13,15.00
2024-03,VARIANTE,Mantequilla,24,20,48.00
2024-03,VARIANTE,Migada Delgada,3,2,3.00
2024-03,VARIANTE,Natural,4,4,4.00
