fecha,producto,familia,unidad_venta,unidades,ingresos,renglones,extras,peticiones,piezas
2026-06-29,Horchata Vaso,Bebida,ORDEN,8.00,336.00,1,0,0,0
2026-05-12,Jamaica 1 Litro,Bebida,ORDEN,1.00,59.00,1,0,0,0
2026-07-26,Ciel 600 ml.,Bebida,ORDEN,2.00,70.00,1,0,0,0
2026-08-29,Salsa Habanera,Guarnicion,ORDEN,1.00,10.00,1,0,0,0
2026-03-16,Tacos de Harina,Taco,PIEZA,29.00,679.00,13,2,0,29.00
2026-03-28,Plátano Frito,Otros,ORDEN,2.00,84.00,2,0,0,0
2026-06-09,Pieza Huevo Estrellado Tierno,Huevos,ORDEN,2.00,40.00,1,0,0,0
2026-04-12,Tacos de Harina,Taco,PIEZA,26.00,595.00,11,1,0,26.00
2026-03-14,Horchata Vaso,Bebida,ORDEN,12.00,504.00,1,0,0,0
2026-06-19,Salsa Habanera,Guarnicion,ORDEN,1.00,0.00,1,0,0,0
2026-07-02,Pieza Huevo Estrellado Cocido,Huevos,ORDEN,1.00,20.00,1,0,0,0
2026-08-08,Huevos con Deshebrada,Huevos,ORDEN,3.00,405.00,1,0,0,0
2026-07-07,1/2 Encremadas,Encremada,ORDEN,2.00,327.00,2,2,0,0
2026-08-10,Zanahorias p/llevar,Otros,ORDEN,1.00,10.00,1,0,0,0
2026-04-30,Enchiladas Rojas,Enchilada,ORDEN,3.00,622.00,3,2,1,0
2026-05-28,1/2 Enchiladas Rojas,Enchilada,ORDEN,8.00,970.00,4,3,1,0
2026-05-12,Jamaica Vaso,Bebida,ORDEN,11.00,462.00,1,0,0,0
2026-08-16,Pieza Enmolada,Enmolada,ORDEN,1.00,30.00,1,0,0,0
2026-03-24,Refresco 355 ml.,Bebida,ORDEN,3.00,105.00,1,0,0,0
2026-04-27,Entomatadas,Entomatada,ORDEN,1.00,249.00,1,1,0,0
2026-03-30,Huevos Rancheros,Huevos,ORDEN,1.00,120.00,1,0,0,0
2026-06-08,Gorditas de Azúcar,Gordita,PIEZA,1.00,42.00,1,0,0,1.00
2026-07-20,Guisado Infantil,Otros,ORDEN,1.00,38.00,1,0,0,0
2026-08-18,Zanahorias p/llevar,Otros,ORDEN,3.00,30.00,1,0,0,0
2026-05-07,1/2 Empanadas (2 pzas.),Empanada,ORDEN,2.00,188.00,2,0,0,0
2026-07-27,Jamaica Vaso,Bebida,ORDEN,17.00,714.00,1,0,0,0
2026-03-31,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,2.00,172.00,2,0,1,0
2026-07-10,Gorditas,Gordita,PIEZA,156.00,3009.00,21,0,0,156.00
2026-04-22,1/2 Quesadillas (2 pzas.),Quesadilla,ORDEN,6.00,516.00,2,0,3,0
2026-07-02,Enfrijoladas,Enfrijolada,ORDEN,1.00,299.00,1,3,2,0
2026-04-18,Huevo Estrellado 2 pzas.,Huevos,ORDEN,1.00,35.00,1,0,0,0
2026-03-26,1/2 Entomatadas,Entomatada,ORDEN,2.00,260.00,2,2,1,0
2026-06-19,Fuze Tea,Bebida,ORDEN,1.00,45.00,1,0,0,0
2026-06-23,PROMO 6 surtidas,Otros,ORDEN,4.00,432.00,1,0,0,0
2026-04-02,Jamaica Vaso,Bebida,ORDEN,11.00,462.00,1,0,0,0
2026-04-26,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,2.00,238.00,2,0,1,0
2026-07-03,Entomatadas,Entomatada,ORDEN,2.00,294.00,2,0,1,0
2026-05-12,Quesadillas (4 pzas.),Quesadilla,ORDEN,3.00,399.00,1,0,0,0
2026-06-14,Gorditas de Azúcar,Gordita,PIEZA,4.00,168.00,1,0,0,4.00
2026-04-04,Enmoladas,Enmolada,ORDEN,7.00,1131.00,2,1,0,0
2026-08-17,1/2 Enchiladas Rojas,Enchilada,ORDEN,2.00,228.00,2,1,0,0
2026-03-07,Gorditas,Gordita,PIEZA,287.00,5522.00,26,0,5,287.00
2026-05-10,Encremadas,Encremada,ORDEN,2.00,434.00,2,2,0,0
2026-03-31,Bocoles,Bocol,PIEZA,38.00,896.00,12,0,0,38.00
2026-07-22,Tacos de Maiz,Taco,PIEZA,65.00,1448.00,16,0,0,65.00
2026-04-16,Huevos a la Mexicana,Huevos,ORDEN,3.00,360.00,1,0,0,0
2026-04-02,Migada Guisado de Carne,Migada,PIEZA,6.00,864.00,6,0,3,6.00
2026-07-26,Huevos a la Mexicana,Huevos,ORDEN,1.00,120.00,1,0,0,0
2026-06-29,Entomatadas,Entomatada,ORDEN,2.00,294.00,1,0,0,0
