periodo,producto,familia,unidad_venta,unidades,piezas,ingresos,ventas_brutas,renglones,extras,peticiones,ingreso_por_unidad
2026-02,Pieza Enmolada,Enmolada,ORDEN,2.00,,60.00,60.00,1,0,0,30.00
2023-12,Jugo Naranja 1 Litro,Bebida,ORDEN,26.00,,1534.00,1534.00,14,0,0,59.00
2025-11,Horchata 1 Litro,Bebida,ORDEN,34.00,,2421.00,2421.00,16,0,0,71.21
2025-11,Café con Leche,Bebida,ORDEN,1071.00,,37537.00,37537.00,86,0,0,35.05
2026-09,Empanadas (4 pzas.),Empanada,ORDEN,19.00,,2842.00,2842.00,19,6,10,149.58
2024-01,Limón 1 Litro,Bebida,ORDEN,33.00,,1624.95,1681.00,18,0,0,49.24
2023-12,1/2 Enchiladas Picositas,Enchilada,ORDEN,40.00,,4039.00,4039.00,36,28,3,100.98
2026-04,Jamaica 1 Litro,Bebida,ORDEN,20.00,,1306.00,1306.00,15,0,0,65.30
2025-06,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,26.00,,3921.00,3921.00,26,15,9,150.81
2024-10,Salsa Habanera,Guarnicion,ORDEN,15.00,,15.00,15.00,10,0,0,1.00
2024-07,Plátano Frito,Otros,ORDEN,29.00,,926.00,926.00,25,0,0,31.93
2023-09,Horchata 1 Litro,Bebida,ORDEN,30.00,,1735.00,1735.00,16,0,0,57.83
2025-06,Brownie Oreo,Postre,ORDEN,7.00,,175.00,175.00,4,0,0,25.00
2024-02,1/2 Empanadas (2 pzas.),Empanada,ORDEN,58.00,,3952.70,3956.00,54,7,6,68.15
2026-05,Bistec 1 Pza.,Otros,ORDEN,3.00,,306.00,306.00,3,0,0,102.00
2026-02,1/2 Enchiladas Mixtas (4 Piezas),Enchilada,ORDEN,43.00,,7034.00,7034.00,42,31,5,163.58
2023-12,Huevos con Deshebrada,Huevos,ORDEN,26.00,,2470.00,2470.00,17,0,0,95.00
2026-07,Pieza Entomatada,Entomatada,ORDEN,1.00,,30.00,30.00,1,0,0,30.00
2025-10,Limón Vaso,Bebida,ORDEN,470.00,,17930.00,17930.00,31,0,0,38.15
2024-06,Enchiladas Mixtas,Enchilada,ORDEN,35.00,,5256.00,5256.00,35,25,7,150.17
2026-05,Encremadas,Encremada,ORDEN,20.00,,3905.00,3905.00,18,13,0,195.25
